Review_ID,Product_ID,Customer_ID,Rating,Review_Text,Review_Date
101,101,21,4,"Good phone but software updates are slow",2023-08-28
102,102,22,5,"Excellent smart TV with great app support",2023-08-29
103,103,23,4,"Efficient rice cooker but non-stick coating wears",2023-08-30
104,104,24,3,"T-shirt shrunk after first wash",2023-08-31
105,105,25,5,"Long-lasting lipstick. Perfect shade",2023-09-01
106,106,26,4,"Good induction cooktop but beeps are loud",2023-09-02
107,107,27,5,"Best wireless earbuds under 3000",2023-09-03
108,108,28,4,"Comfortable shoes but sole wears quickly",2023-09-04
109,109,29,5,"Durable water bottle. Leak-proof design",2023-09-05
110,110,30,4,"Good formal shirt but buttons are weak",2023-09-06
111,111,31,5,"Excellent performance for price",2023-09-07
112,112,32,4,"Cleans well but uses more water",2023-09-08
113,113,33,5,"Perfect fit jeans. True to size",2023-09-09
114,114,34,3,"Foundation oxidizes too quickly",2023-09-10
115,115,35,5,"Powerful hair dryer. Quick drying",2023-09-11
116,116,36,4,"Good running shoes but narrow fit",2023-09-12
117,117,37,5,"Durable cookware. Even heat distribution",2023-09-13
118,118,38,4,"Spacious backpack but straps could be padded",2023-09-14
119,119,39,5,"Makes hair soft and shiny",2023-09-15
120,120,40,4,"Good laptop but gets warm easily",2023-09-16
121,121,41,5,"Excellent camera for price",2023-09-17
122,122,42,4,"Great picture quality but OS is slow",2023-09-18
123,123,43,5,"Fast boiling. Sturdy construction",2023-09-19
124,124,44,4,"Comfortable trousers but color fades",2023-09-20
125,125,45,5,"Perfect kajal. Doesn't smudge",2023-09-21
126,126,46,4,"Powerful mixer but noisy operation",2023-09-22
127,127,47,5,"Great sound quality. Comfortable",2023-09-23
128,128,48,4,"Good running shoes but sizing is off",2023-09-24
129,129,49,5,"Durable lunch box set",2023-09-25
130,130,50,4,"Good shirt but wrinkles easily",2023-09-26
131,131,51,5,"Smooth performance. Great display",2023-09-27
132,132,52,4,"Excellent sound but wires are short",2023-09-28
133,133,53,5,"Powerful mixer for Indian cooking",2023-09-29
134,134,54,4,"Comfortable t-shirt but shrinks slightly",2023-09-30
135,135,55,5,"Long-lasting lipstick. Perfect matte finish",2023-10-01
136,136,56,4,"Good fan but speed control could be better",2023-10-02
137,137,57,5,"Excellent portable speaker",2023-10-03
138,138,58,4,"Comfortable shoes but not for running",2023-10-04
139,139,59,5,"Durable water bottle. Keeps temp well",2023-10-05
140,140,60,4,"Good shirt but stitching could be better",2023-10-06
141,141,61,5,"Excellent camera phone",2023-10-07
142,142,62,4,"Good microwave but turntable is small",2023-10-08
143,143,63,5,"Durable backpack. Lots of pockets",2023-10-09
144,144,64,4,"Effective face wash but strong fragrance",2023-10-10
145,145,65,5,"Keeps water hot/cold for hours",2023-10-11
146,146,66,4,"Good jeans but waist stretches out",2023-10-12
147,147,67,5,"Accurate fitness tracker",2023-10-13
148,148,68,4,"Good fan but wobbles at high speed",2023-10-14
149,149,69,5,"Stylish sunglasses. Good UV protection",2023-10-15
150,150,70,4,"Good toothpaste but taste is strong",2023-10-16
151,151,71,5,"Great budget 5G phone",2023-10-17
152,152,72,4,"Cleans well but cycles are long",2023-10-18
153,153,73,5,"Comfortable t-shirt. Washes well",2023-10-19
154,154,74,4,"Good mascara but clumps easily",2023-10-20
155,155,75,5,"Efficient gas stove. Easy to clean",2023-10-21
156,156,76,4,"Comfortable flip flops but not durable",2023-10-22
157,157,77,5,"Excellent noise cancellation",2023-10-23
158,158,78,4,"Good water bottle but leaks slightly",2023-10-24
159,159,79,5,"Premium formal trousers",2023-10-25
160,160,80,4,"Precise trimmer but battery life average",2023-10-26
161,161,81,5,"Vibrant OLED display",2023-10-27
162,162,82,4,"Good fridge but ice maker is noisy",2023-10-28
163,163,83,5,"Breathable polo shirt",2023-10-29
164,164,84,4,"Good compact but breaks easily",2023-10-30
165,165,85,5,"Durable pressure cooker",2023-10-31
166,166,86,4,"Comfortable cap but fades quickly",2023-11-01
167,167,87,5,"Excellent battery life",2023-11-02
168,168,88,4,"Practical containers but lids weak",2023-11-03
169,169,89,5,"Comfortable casual shirt",2023-11-04
170,170,90,4,"Effective wax strips",2023-11-05
171,171,91,5,"Great budget 5G performance",2023-11-06
172,172,92,4,"Good cooler but tank small",2023-11-07
173,173,93,5,"Soft cotton t-shirt",2023-11-08
174,174,94,4,"Moisturizing lip balm",2023-11-09
175,175,95,5,"Even toasting every time",2023-11-10
176,176,96,4,"Comfortable socks",2023-11-11
177,177,97,5,"Clear sound quality",2023-11-12
178,178,98,4,"Good dinner set",2023-11-13
179,179,99,5,"Premium polo shirt",2023-11-14
180,180,100,4,"Good body lotion",2023-11-15
181,101,11,5,"Excellent camera quality",2023-11-16
182,102,12,4,"Good TV but sound average",2023-11-17
183,103,13,5,"Perfect rice cooker",2023-11-18
184,104,14,3,"Size runs small",2023-11-19
185,105,15,4,"Good lipstick but drying",2023-11-20
186,106,16,5,"Efficient induction cooktop",2023-11-21
187,107,17,4,"Good earbuds",2023-11-22
188,108,18,5,"Comfortable shoes",2023-11-23
189,109,19,4,"Good water bottle",2023-11-24
190,110,20,5,"Premium formal shirt",2023-11-25
191,111,21,4,"Good budget phone",2023-11-26
192,112,22,5,"Efficient washing machine",2023-11-27
193,113,23,4,"Good jeans",2023-11-28
194,114,24,3,"Foundation oxidizes",2023-11-29
195,115,25,5,"Powerful hair dryer",2023-11-30
196,116,26,4,"Comfortable running shoes",2023-12-01
197,117,27,5,"Durable cookware",2023-12-02
198,118,28,4,"Good backpack",2023-12-03
199,119,29,5,"Effective shampoo",2023-12-04
200,120,30,4,"Good laptop",2023-12-05
